City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,sinop,41.7711,34.8709,9.09,70,100,3.24,TR,1707416870
258,susuman,62.7833,148.1667,-37.79,100,91,1.34,RU,1707416643
259,mili,6.0815,171.735,28.1,72,82,7.84,MH,1707416870
260,tual,-5.6667,132.75,28.21,79,100,7.44,ID,1707416870
261,pundong,-7.9522,110.3486,25.6,86,55,0.82,ID,1707416871
262,smithers,54.7804,-127.1743,-5.82,93,100,1.54,CA,1707416871
263,oneonta,42.4529,-75.0638,10.48,45,18,1.84,US,1707416871
264,taltal,-25.4,-70.4833,22.91,72,18,2.25,CL,1707416871
265,neryungri,56.6709,124.6491,-34.52,100,90,1.15,RU,1707416871
266,codrington,-38.2667,141.9667,11.82,88,4,2.64,AU,1707416652
267,praia da vitoria,38.7333,-27.0667,17.14,77,20,10.13,PT,1707416722
268,kidal,18.4411,1.4078,24.04,7,89,3.21,ML,1707416776
269,canutama,-6.5339,-64.3831,33.75,52,97,0.81,BR,1707416872
270,hasaki,35.7333,140.8333,0.22,61,100,8.09,JP,1707416640
271,sinabang,2.4803,96.3801,27.17,79,72,1.35,ID,1707416676
272,klyuchi,52.2667,79.1667,-3.29,74,99,8.45,RU,1707416637
273,saipan,15.1355,145.701,25.39,73,0,5.66,MP,1707416664
274,mendi,-6.1761,143.6513,12.99,99,99,0.45,PG,1707416872
275,kralendijk,12.15,-68.2667,25.57,81,93,4.27,BQ,1707416872
276,baruun-urt,46.6806,113.2792,-25.52,100,91,2.42,MN,1707416690
277,kyabe,9.4515,18.9449,30.19,16,19,1.83,TD,1707416872
278,portland,45.5234,-122.6762,6.49,93,75,1.34,US,1707416365
279,uberaba,-19.7483,-47.9319,26.32,73,75,3.09,BR,1707416462
280,rockport,28.0206,-97.0544,22.58,71,40,5.14,US,1707416873
281,nanakuli,21.3906,-158.1547,22.43,73,75,2.57,US,1707416873
282,tsengel,49.4783,100.8894,-21.21,89,18,2.52,MN,1707416873
283,ad dawadimi,24.5077,44.3924,14.64,29,94,5.34,SA,1707416873
284,corner brook,48.9667,-57.9484,-2.91,79,100,1.68,CA,1707416711
285,qarqaraly,49.4058,75.4742,-5.2,84,100,9.46,KZ,1707416873
286,santona,43.4439,-3.4576,15.49,61,100,6.76,ES,1707416874
287,saint-francois,46.4154,3.9054,14.66,60,0,3.6,FR,1707416874
288,fisterra,42.9049,-9.2629,14.86,83,78,12.29,ES,1707416874
289,happy valley-goose bay,53.3168,-60.3315,-5.83,79,75,1.03,CA,1707416696
290,laayoune,27.1622,-13.2032,27.19,14,77,4.12,EH,1707416371
291,port-cartier,50.0334,-66.8654,-2.23,84,33,1.22,CA,1707416874
292,aykhal,66.0,111.5,-33.15,100,95,2.32,RU,1707416638
293,verkh-chebula,56.0308,87.6218,-2.64,80,82,5.7,RU,1707416874
294,tingi,-11.3,35.0333,19.98,87,17,1.37,TZ,1707416874
295,tsiombe,-25.3,45.4833,24.08,93,77,1.78,MG,1707416875
296,tromso,69.6496,18.957,-9.99,67,0,8.75,NO,1707416875
297,lauro de freitas,-12.8944,-38.3272,31.01,74,40,7.72,BR,1707416665
298,labasa,-16.4167,179.3833,26.46,91,100,4.24,FJ,1707416875
299,kertih,4.5141,103.4483,26.01,89,41,1.03,MY,1707416875
300,rongelap,11.1635,166.8941,26.42,86,94,9.47,MH,1707416660
301,axim,4.8699,-2.2405,27.87,70,24,4.14,GH,1707416722
302,prymors'k,46.7348,36.3443,5.77,89,100,2.31,UA,1707416680
303,sur,22.5667,59.5289,21.28,68,92,4.19,OM,1707416875
304,lompoc,34.6391,-120.4579,10.89,73,40,1.79,US,1707416679
305,naze,28.3667,129.4833,12.51,72,100,4.85,JP,1707416658
306,fort st. john,56.2499,-120.8529,-9.06,92,75,3.09,CA,1707416876
307,tura,25.5198,90.2201,11.96,43,29,1.34,IN,1707416673
308,kaa-khem,51.6833,94.7333,-25.89,93,70,0.58,RU,1707416876
309,ca mau,9.1769,105.15,24.28,82,94,1.7,VN,1707416876
310,mombetsu,44.3525,143.3525,-9.31,93,90,2.48,JP,1707416876
311,murghob,38.1702,73.9667,-19.76,77,57,2.45,TJ,1707416876
312,montecanal,41.6297,-0.9387,12.77,64,20,2.57,ES,1707416876
313,san mariano,7.5,126.0,21.54,97,64,1.11,PH,1707416877
314,vol'no-nadezhdinskoye,43.3833,131.9917,-18.29,78,24,0.0,RU,1707416877
315,petrovsk-zabaykal'skiy,51.273,108.843,-22.78,100,40,1.08,RU,1707416877
316,caleta olivia,-46.4393,-67.5281,19.82,41,0,8.08,AR,1707416674
317,hadibu,12.65,54.0333,24.89,80,10,6.38,YE,1707416877
318,flying fish cove,-10.4217,105.6791,26.82,83,40,2.57,CX,1707416688
319,carbonear,47.7332,-53.2148,-0.16,89,63,6.69,CA,1707416877
320,dudinka,69.4058,86.1778,-30.18,95,7,2.24,RU,1707416683
321,chopda,21.25,75.3,22.22,35,11,2.67,IN,1707416878
322,comodoro rivadavia,-45.8667,-67.5,22.92,27,0,7.2,AR,1707416878
323,minas de marcona,-15.2119,-75.1103,25.49,63,40,5.27,PE,1707416878
324,lagoa,39.05,-27.9833,14.9,84,59,15.24,PT,1707416878
325,island harbour,50.724,-1.2758,10.12,94,100,4.92,GB,1707416683
326,rajin,42.2489,130.3003,-4.38,59,23,1.53,KP,1707416878
327,kapuskasing,49.4169,-82.4331,6.0,61,75,7.2,CA,1707416637
328,bucerias,20.75,-105.3333,26.99,54,20,1.03,MX,1707416878
329,hacienda huancane,-15.8222,-70.8856,12.22,31,99,2.99,PE,1707416879
330,greenville,35.6127,-77.3663,12.37,44,0,1.79,US,1707416437
331,nalut,30.3333,10.85,13.8,27,0,3.42,LY,1707416879
332,zhanaozen,43.3,52.8,8.81,63,19,5.93,KZ,1707416879
333,iskateley,67.6803,53.1512,-6.1,85,99,5.81,RU,1707416689
334,margate,51.3813,1.3862,10.4,94,100,4.47,GB,1707416710
335,flin flon,54.7682,-101.865,-13.09,78,100,4.63,CA,1707416879
336,cockburn town,21.4612,-71.1419,23.27,53,62,7.14,TC,1707416669
337,fort bragg,35.139,-79.006,12.6,39,0,0.89,US,1707416880
338,altamirano,16.8833,-92.15,24.0,22,9,1.96,MX,1707416880
339,rancho palos verdes,33.7445,-118.387,12.34,71,40,4.63,US,1707416880
340,arraial do cabo,-22.9661,-42.0278,29.92,74,40,6.17,BR,1707416715
341,manta,-0.95,-80.7333,26.67,83,20,6.71,EC,1707416880
342,ancud,-41.8697,-73.8203,18.21,58,77,3.3,CL,1707416670
343,xichang,27.8964,102.2634,4.36,86,94,2.11,CN,1707416881
344,noumea,-22.2763,166.4572,26.67,99,100,5.94,NC,1707416881
345,lihue,21.9789,-159.3672,22.18,78,75,6.17,US,1707416649
346,bamboo flat,11.7,92.7167,26.05,89,20,2.57,IN,1707416721
347,puerto deseado,-47.7503,-65.8938,19.04,41,19,5.22,AR,1707416725
348,wajir,1.7471,40.0573,32.98,46,20,0.0,KE,1707416881
349,essaouira,31.5125,-9.77,23.72,14,40,6.17,MA,1707416671
350,husainabad,24.5333,84.0167,12.84,31,33,1.29,IN,1707416881
351,lorengau,-2.0226,147.2712,26.99,84,100,4.58,PG,1707416649
352,pavlohrad,48.5167,35.8667,2.17,88,100,1.93,UA,1707416803
353,prainha,-1.8,-53.48,32.73,47,100,1.06,BR,1707416882
354,shahrisabz,39.0578,66.8342,10.42,37,100,3.17,UZ,1707416882
355,mutsu,41.2894,141.2169,-0.37,59,82,4.59,JP,1707416641
356,kapit,2.0167,112.9333,23.34,100,91,0.13,MY,1707416882
357,brisas de zicatela,15.8369,-97.0419,29.29,70,20,3.09,MX,1707416678
358,la passe,45.5549,-0.8967,13.13,81,100,13.24,FR,1707416639
359,cidreira,-30.1811,-50.2056,26.31,80,69,5.97,BR,1707416685
360,yaren,-0.5472,166.916,28.12,81,100,7.55,NR,1707416883
361,hammerfest,70.6634,23.6821,-11.75,72,68,5.14,NO,1707416883
